cluster,id,names,feature,value
0,1VU8t2MpJRLG5iFEIxqq7z,Geboren um zu leben,danceability,0.513
6,4YRvb9B8cgvhst11qk8CKn,Sonnentanz,danceability,0.646
2,7qiZfU4dY1lWllzX7mPBI3,Shape of You,danceability,0.825
0,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,danceability,0.694
0,4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,danceability,0.73
4,6habFhsOp2NvshLv26DqMb,Despacito,danceability,0.655
5,1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",danceability,0.591
5,3U4isOIWM3VvDubwSI3y7a,All of Me,danceability,0.422
5,2VxeLyX666F8uXCJ0dZF8B,Shallow,danceability,0.577
0,0tgVpDi06FyKpA1z0VMD4v,Perfect,danceability,0.599
7,1ZMODMeLK5x6W8r8jsmmgX,Au Revoir (feat. Sido),danceability,0.659
2,6dXt4t5jgySnVTeTpT4C0l,Auf uns,danceability,0.63
0,2lYsCjTvXIHOqT8xSbK2jq,Tage wie diese,danceability,0.67
0,0lKyMPBRuIDCX56NORu5NZ,Die immer lacht - Radio 2016 Mix,danceability,0.729
2,7bolFIVYrui4h98GEK0MIK,Geiles Leben,danceability,0.639
5,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,danceability,0.575
4,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",danceability,0.647
2,7DFSnCBYlus7i4U9KKlbdU,No Roots,danceability,0.862
0,2IxixfQUSQkwCCblJT3Eq1,Heavy Cross,danceability,0.793
2,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit,danceability,0.782
2,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),danceability,0.764
0,4255amV4enzl28KAn16rUO,Are You with Me,danceability,0.763
6,3ZSqMer9RLSglvi18bWXYV,Sky and Sand,danceability,0.792
5,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,danceability,0.614
0,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),danceability,0.765
0,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,danceability,0.532
5,3WlVUkLgGYByiGj8gF4erq,I Follow Rivers,danceability,0.599
